A,B,C,E,ehomo,elumo,egap,R2,mu,alpha,zpve,U0,U,H,G,Cv,U0-ref,U-ref,H-ref,G-ref,f_name
0.60765,0.09832,0.08906,-19724.407536899915,2.163305188937196,-5.928816786989135,220.19785484319678,12401.1002,1.224,191.02,14.241922428819352,-19710.165609001604,-19709.517161672644,-19709.49147412424,-19711.774536623067,85.572,-213.71501489181537,-215.1857903064374,-216.57392474171866,-197.45923220613258,18_9257
0.29457,0.23472,0.17314,-27990.9633765626,1.6337716169030094,-5.215334245430226,186.37366354170638,7529.338,1.1813,205.39,14.275773393033665,-27976.687589291756,-27975.979440181858,-27975.953752633453,-27978.261659127726,95.214,-210.36798719770013,-211.81759215137572,-213.2314685580277,-193.74351744090382,18_9900
0.74092,0.16088,0.14249,-20291.309660992054,2.061534605206062,-7.505716607101217,260.3381659301889,7975.8286,0.1676,195.46,14.31033185328461,-20276.999324485623,-20276.462171725503,-20276.436484177095,-20278.281688263407,80.406,-219.78198388565215,-221.3640538691143,-222.75216109300527,-203.1070642210325,19_2565
0.36213,0.29563,0.1831,-20292.087429018105,1.8326868487411336,-7.574289299882622,255.97685930221644,6425.5748,0.1849,195.34,14.259827520823388,-20277.82758465343,-20277.270622004286,-20277.244907244494,-20279.141377582073,80.868,-220.6102440534596,-222.1725041478967,-223.5605841604047,-203.9667535396984,19_2579
0.33709,0.27115,0.16293,-20291.44087968332,1.5464230677647903,-7.417823830242511,243.9295827594133,7010.23,0.0945,196.1,14.215255270515472,-20277.225641583187,-20276.65716851775,-20276.631480969347,-20278.567924832998,81.73,-220.00830098321603,-221.55905066136256,-222.94715788525718,-203.39330079062347,19_2585
0.29449,0.22306,0.13426,-20325.42640594305,1.8427550615701498,-7.885315442141139,264.7142817487486,8355.4088,0.0305,200.68,14.823810707564423,-20310.602610664344,-20309.99783760995,-20309.97215006154,-20312.00130311738,85.085,-226.15902662324152,-227.75053895765086,-229.19007570111717,-209.02061542045703,19_2587
0.34061,0.21719,0.14215,-20761.10681281071,1.8473809971942923,-5.684186426630073,204.94438853823394,7912.7206,0.9813,196.16,14.517165598455826,-20746.589641742765,-20745.98737213589,-20745.961684587484,-20748.008552255622,84.39,-220.2893129666918,-221.84479742600888,-223.25861940968753,-203.4476963512825,19_2588
0.25514,0.21982,0.1292,-28560.246566048798,1.3445145834639856,-6.18705284036038,204.94438853823394,8686.3343,1.5351,212.08,14.29648125779821,-28545.95008424677,-28545.32620879939,-28545.30052125098,-28547.388831860033,87.306,-218.8637356625295,-220.3976142787251,-221.81146347399044,-202.01137054777791,19_2590
0.81624,0.06672,0.06295,-20416.2103145518,-1.0762103172637245,-5.375337195253505,116.9852010447127,16972.1821,0.7873,203.88,14.474851893187935,-20401.73544725697,-20401.032713212888,-20401.007025664483,-20403.41907013307,92.358,-220.79256033662023,-222.28611168872885,-223.72567564379278,-203.93951493885834,19_27
0.75767,0.06779,0.0671,-20324.663768563296,0.8476346746590396,-6.449914829355768,198.57643658567665,16458.8707,0.5789,204.08,14.654882423125148,-20310.008885432675,-20309.328791261767,-20309.303103713362,-20311.665895573246,90.785,-225.56530139157258,-227.0814926094681,-228.52102935293806,-208.68520787632224,19_2987
