A,B,C,E,ehomo,elumo,egap,R2,mu,alpha,zpve,U0,U,H,G,Cv,U0_atom,U_atom,H_atom,G_atom,f_name
0.31208,0.03968,0.03724,-40997.43331885135,-1.519211681740423,-5.32227499250599,103.48662382434995,27052.3882,2.0031,301.17,14.133702746600443,-40983.299624812396,-40982.521678497345,-40982.49599094893,-40985.03742555807,112.316,-275.51310658582224,-277.12410227264627,-278.6918318556418,-255.67069995380734,3021
0.156,0.02831,0.02485,-60564.017387442356,-0.7104892890962288,-5.565816897424076,132.12019382497684,40147.4663,1.8061,390.6,17.39585812597364,-60546.62154700379,-60545.597881872935,-60545.572167113154,-60548.68433333275,143.949,-335.1967919526069,-337.1400386601599,-339.09327194919024,-310.40572266170784,4035
0.72808,0.11133,0.09905,-30138.06893024378,-1.4536322414216982,-5.631940565463288,113.69756073432262,10204.4785,2.9816,211.0,7.6995977325248335,-30130.369335504507,-30129.831502459736,-30129.805787699945,-30131.696298743987,76.567,-177.31861599463082,-178.20644188644656,-179.13154737713558,-165.41676391837973,3973
0.69352,0.05688,0.05525,-42341.9320108659,-0.8879075259751031,-6.521480774599854,153.2973363648767,17768.7999,6.9953,222.0,9.91811482370547,-42332.01390474984,-42331.408124874164,-42331.38241011437,-42333.550205182,84.737,-202.617286487628,-203.74541612683242,-204.87618527463928,-188.3731327238711,3490
0.38106,0.20429,0.15442,-23074.25681988714,-0.02340179198095583,-5.179415215878062,140.3022716244836,7425.4682,0.6787,208.18,10.731680843062003,-23063.525146010197,-23063.006252090097,-23062.980537330302,-23064.846231590294,75.553,-199.026063813395,-200.24107941076727,-201.37195740256357,-185.05048643099872,317
0.24244,0.17888,0.14541,-49499.49792216262,-1.221247004773602,-6.2490948004959375,136.8147072411644,8413.3,3.7263,219.12,9.237530847850023,-49490.26040519258,-49489.68809532171,-49489.66240777331,-49491.708622368176,79.387,-183.8134024068786,-184.85940808043233,-185.91311458463315,-170.53693995160575,2114
0.20163,0.03526,0.03377,-44518.5556099679,-1.6745886959395602,-5.707316104750786,109.73610225220852,30399.6578,8.1743,314.05,14.07440913645335,-44504.48119457282,-44503.64730164811,-44503.6216140997,-44506.292411637995,119.681,-282.48460926248663,-284.07818966227205,-285.671579582282,-262.189514012578,2051
0.30518,0.1977,0.13822,-28410.90791269702,-1.5279193252682206,-5.6425530060127915,111.96488543560358,7854.7706,5.4525,197.76,8.749059257326604,-28402.15886187523,-28401.610334755747,-28401.584619995956,-28403.581609193512,76.207,-181.5348569907983,-182.52758277573594,-183.52983254579158,-168.83658206837572,1255
1.74164,0.1633,0.1515,-20881.526985155815,-1.0013790056967145,-5.235742784948501,115.22290736481894,6632.8646,0.9408,188.78,6.43971055959663,-20875.08727603842,-20874.70740508952,-20874.681717541112,-20876.201745564435,57.472,-149.12688536596033,-149.90295409538157,-150.64821953582577,-139.61563518611,418
0.42144,0.10219,0.0934,-39786.27139769399,-1.8786740911223145,-6.191950889844766,117.37023999998361,11307.4442,5.5486,230.83,8.520646883038067,-39777.75075979071,-39777.22024660878,-39777.19455906037,-39779.13149272897,76.947,-180.56724731617578,-181.5779870360493,-182.58026401769894,-167.6855948668599,2708
0.90174,0.19096,0.16077,-23287.16414606525,-1.3382559646783811,-5.588674461684545,115.65977848714556,6374.9808,3.1289,201.37,6.491493827201,-23280.672659557913,-23280.281686363513,-23280.255998815108,-23281.810340396205,58.941,-154.8701749230422,-155.67367272956471,-156.44459850704152,-144.85145960521913,2007
0.09529,0.08094,0.06043,-56437.74172363018,-2.0272482588153595,-6.380253681133388,118.45131091285963,19294.607,6.7008,352.1,12.48763158321442,-56425.25408225085,-56424.34916760862,-56424.323480060215,-56427.14228032708,125.991,-286.78354566444614,-288.1905103762474,-289.70667438433884,-267.1064754126128,3248
0.59213,0.12734,0.11706,-90774.51390711487,-0.520009586925658,-5.62023966947281,138.78432958928096,8489.7361,2.9846,183.26,6.841922056422802,-90767.67198288153,-90767.23186592398,-90767.20615116418,-90768.93984299057,61.877,-151.46347266362864,-152.25635802702163,-153.05299856585043,-141.34211599452829,1744
0.73226,0.27745,0.20233,-21076.386617789314,-1.724657646224396,-6.0028317569754135,116.41504720709999,5005.1111,8.3722,176.31,5.516945248124313,-21070.86966100356,-21070.49286494128,-21070.46717739287,-21071.997328051795,54.766,-133.70700924753692,-134.37055889574185,-135.03868005680488,-125.03411465970566,4070
